	Team 1	Team2	score team 1	score team 2	overs team 1	overs team 2	link	team 1 squad	series name	match no	match date	team 1 wins	team 2 wins	match venue	Batting_first wins	Batting_second wins	team 2 squad	last 5 matches team 1	last 5 matches team 2	Pace wicket on ground	spin wicket on ground	On field Umpire	Third Umpire	Refree
0	LIO	NWD	Yet to bat	310/6	--	49.2	https://crex.live/scoreboard/SH1/1O8/11th-Match/6D/JE/lio-vs-nwd-11th-match-csa-provincial-oneday-challenge-division-one-2025/info	"W Makwetu
(WK)
Batter ,M Manack
All Rounder ,R Hendricks
Batter ,Z Hamza
Batter ,M V Buuren
All Rounder ,C Esterhuizen
Batter ,D Potgieter
Batter ,B Fortuin
(C)
Bowler ,C E Yusuf
All Rounder ,N Peter
Bowler ,T Moreki
Bowler ,"	CSA DIV-1 2025	11th Match	Feb 23, 2025, 1:30:00 PM	2	0	12	67%	33%	"J Malan
Batter ,R Hermann
(WK)
Batter ,R v Tonder
Batter ,M Kleinveldt
Batter ,L Ngoepe
(C)
All Rounder ,R d Swardt
Batter ,B Xenxe
Batter ,C Seleka
Bowler ,K Mungroo
Bowler ,L Tsanwani
Batter ,W Lubbe
All Rounder ,"	"*
W
W
W
W
W"	--	108 Wkt	25 Wkt	--	--	--
0	TIT	DOL	Yet to bat	Yet to bat	--	--	https://crex.live/scoreboard/SH2/1O8/12th-Match/69/6A/dol-vs-tit-12th-match-csa-provincial-oneday-challenge-division-one-2025/info	"L Pretorius
Batter ,R Moonsamy
Batter ,N Brand
All Rounder ,K Petersen
Batter ,D Brevis
All Rounder ,S Makhanya
Batter ,A Phehlukwayo
All Rounder ,D Galiem
All Rounder ,R v d Merwe
All Rounder ,M Boast
All Rounder ,J Dala
Bowler ,J v Heerden
Batter ,T Ndwandwa
Bowler ,M Brett
Batter ,L Kokohlabana
Bowler ,"	CSA DIV-1 2025	12th Match	Feb 23, 2025, 1:30:00 PM	5	5	12	58%	42%	"S Erwee
Batter ,J Smuts
All Rounder ,B Parsons
All Rounder ,K Zondo
Batter ,T Dithole
Batter ,R Pillay
All Rounder ,H Viljoen
Batter ,E Bosch
Bowler ,A Simelane
All Rounder ,P Subrayen
Bowler ,O Cele
Bowler ,S v Staden
All Rounder ,J Smith
Batter ,K Maharaj
Bowler ,D Dupavillon
Bowler ,S Whitehead
Batter ,M Ackerman
Batter ,O Baartman
Bowler ,B Porteous
All Rounder ,T Luus
Bowler ,B Cele
Batter ,"	"*
L
L
L
L
W"	--	120 Wkt	30 Wkt	--	--	--
0	PAK	IND	159/4	Yet to bat	34.5	--	https://crex.live/scoreboard/SMC/1K7/5th-Match/O/U/ind-vs-pak-5th-match-champions-trophy-2025/info	"B Azam
Batter ,Imam-ul-Haq
Batter ,S Shakeel
Batter ,M Rizwan
(C) (WK)
Batter ,T Tahir
All Rounder ,A Salman
All Rounder ,K Shah
Batter ,S Afridi
Bowler ,N Shah
Bowler ,H Rauf
Bowler ,A Ahmed
Bowler ,"	Champions Trophy 2025	5th Match	Feb 23, 2025, 2:30:00 PM	2	8	57	33%	33%	"R Sharma
(C)
Batter ,S Gill
Batter ,V Kohli
Batter ,S Iyer
Batter ,A Patel
All Rounder ,K Rahul
(WK)
Batter ,H Pandya
All Rounder ,R Jadeja
All Rounder ,H Rana
Bowler ,M Shami
Bowler ,K Yadav
Bowler ,"	"*
L
L
W
L
W"	--	88 Wkt	61 Wkt	Richard Illingworth, Paul Reiffel	Michael Gough	David Boon
0	WXI	EUR	141/7	142/4	10.0	8.0	https://crex.live/scoreboard/T5O/1QZ/21st-Match/11S/A4/eur-vs-wxi-21st-match-weston-shield-t10-2025/info	"J Tromp
Batter ,J Wood
Bowler ,B Calitz
Batter ,R Taylor
(C)
Batter ,J Bazley
Batter ,S Sharma
Batter ,P Hatzoglou
Bowler ,H Mclntyre
Batter ,M Hatzoglou
(WK)
Batter ,J Dodd
Batter ,W Nalisa
Bowler ,"	Weston Shield T10 2025	21st Match	Feb 23, 2025, 3:00:00 PM	0	2	381	52%	48%	"X d Plooy
All Rounder ,M O'Dowd
(C)
Batter ,S Ahmad
Bowler ,F K Nasseri
Bowler ,S Zulfiqar
Batter ,N Croes
(WK)
Batter ,J Martins
Batter ,S Afridi
Bowler ,H S Dar
Batter ,K Ahmadi
Bowler ,M Atif
All Rounder ,"	"*
L
L
L
L
L"	--	67 Wkt	23 Wkt	--	--	--
0	OMN	USA	123	15/0	20.0	1.1	https://crex.live/scoreboard/T4Y/1QX/3rd-T20/15/CD/omn-vs-usa-3rd-t20-usa-tour-of-oman-2025/info	"A Kaleem
All Rounder ,H Mirza
Batter ,J Singh
(C)
Batter ,M I Ali
Batter ,J Ramanandi
All Rounder ,V Shukla
(WK)
Batter ,M Nadeem
All Rounder ,S Shrivastava
Bowler ,M Imran
Bowler ,B Shah
Bowler ,S Ahmed
Bowler ,"	USA vs OMN 2025	3rd T20	Feb 23, 2025, 3:30:00 PM	0	2	67	54%	46%	"A Gous
(WK)
Batter ,S R Mukkamalla
Batter ,M Patel
(C)
Batter ,A Jones
All Rounder ,M Kumar
All Rounder ,J Drysdale
All Rounder ,H Singh
All Rounder ,S Wiig
All Rounder ,S Krishnamurthi
All Rounder ,N Kenjige
Bowler ,A Sheikh
Bowler ,"	"*
L
L
L
L
W"	--	58 Wkt	56 Wkt	Harikrishna Pillai, Rahul Asher	Vinod Babu	Narayanan Kutty
0	ZIM	IRE	Yet to bat	34/1	--	4.0	https://crex.live/scoreboard/SOW/1Q3/2nd-T20/X/Z/ire-vs-zim-2nd-t20-ireland-tour-of-zimbabwe-2025/info	"T Marumani
(WK)
Batter ,B Bennett
All Rounder ,W Madhevere
All Rounder ,S Raza
(C)
All Rounder ,T Munyonga
All Rounder ,R Burl
All Rounder ,T Musekiwa
All Rounder ,W Masakadza
Bowler ,R Ngarava
Bowler ,B Muzarabani
Bowler ,T Gwandu
Bowler ,"	IRE vs ZIM 2025	2nd T20	Feb 23, 2025, 5:00:00 PM	5	5	57	51%	49%	"P Stirling
(C)
All Rounder ,L Tucker
(WK)
Batter ,H Tector
Batter ,C Campher
All Rounder ,N Rock
Batter ,G Dockrell
All Rounder ,G Delany
All Rounder ,G Hume
Bowler ,J Little
Bowler ,B White
Bowler ,C Young
Bowler ,"	"*
L
L
W
W
L"	--	66 Wkt	47 Wkt	Forster Mutizwa, Iknow Chabi	Percival Sizara	Richie Richardson
0	BIK	ASX	53/1	Yet to bat	3.4	--	https://crex.live/scoreboard/T5P/1QZ/22nd-Match/11R/11T/asx-vs-bik-22nd-match-weston-shield-t10-2025/info	"W Smale
(WK)
Batter ,J Connell
Batter ,S Lynch
Batter ,N Priestley
All Rounder ,T Hinley
Bowler ,J Sumerauer
All Rounder ,K O'Brien
(C)
Batter ,O Davidson
Batter ,M Jones
All Rounder ,S Allison
Bowler ,T Sturgess
Bowler ,"	Weston Shield T10 2025	22nd Match	Feb 23, 2025, 5:00:00 PM	2	1	381	52%	48%	"Y Ahmadzai
Batter ,S Safi
Batter ,A Shetty
Batter ,F Shafique
Batter ,U Najeeb
All Rounder ,K Anjula
(C)
All Rounder ,A M Ali
(WK)
All Rounder ,H Arshad
All Rounder ,S Khan
Bowler ,A Patel
Batter ,A Ghaus
Batter ,"	"*
W
L
W
W
W"	--	67 Wkt	23 Wkt	--	--	--
0	Team Europe	Asian XI	--	--	--	--	https://crex.live/scoreboard/T5Q/1QZ/23rd-Match/11R/11S/asx-vs-eur-23rd-match-weston-shield-t10-2025/info	"S Zulfiqar
Batter ,M O'Dowd
(C)
Batter ,S Ahmad
Bowler ,X d Plooy
All Rounder ,S Afridi
Bowler ,J Martins
Batter ,H S Dar
Batter ,M Atif
All Rounder ,N Croes
(WK)
Batter ,F K Nasseri
Bowler ,K Ahmadi
Bowler ,D D Calle
Batter ,J Burns
Batter ,R Shigiwal
Batter ,S Afridi
All Rounder ,"	Weston Shield T10 2025	23rd Match	Feb 23, 2025, 7:00:00 PM	2	1	381	52%	48%	"Y Ahmadzai
Batter ,A Shetty
Batter ,F Shafique
Batter ,A M Ali
All Rounder ,K Anjula
All Rounder ,S Agha
All Rounder ,U Najeeb
All Rounder ,S Khan
Bowler ,A Patel
Batter ,A Ghaus
Batter ,F Basharat
Batter ,S Ajmal
Bowler ,H Khan
Batter ,S Safi
Batter ,H Arshad
All Rounder ,"	"*
W
W
W
L
W"	--	63 Wkt	22 Wkt	--	--	--
0	British & Irish Knights	World XI	--	--	--	--	https://crex.live/scoreboard/T5R/1QZ/24th-Match/11T/A4/bik-vs-wxi-24th-match-weston-shield-t10-2025/info	"W Smale
(WK)
Batter ,S Lynch
Batter ,K O'Brien
(C)
Batter ,J Connell
Batter ,N Priestley
All Rounder ,M Jones
All Rounder ,J Sumerauer
All Rounder ,D Murray
All Rounder ,J Wilson
Bowler ,T Hinley
Bowler ,S K Wright
All Rounder ,S Allison
Bowler ,T Sturgess
Bowler ,O Davidson
Batter ,"	Weston Shield T10 2025	24th Match	Feb 23, 2025, 9:00:00 PM	2	1	381	52%	48%	"J Tromp
(WK)
Batter ,M Hatzoglou
Batter ,R Taylor
(C)
Batter ,J Wood
Bowler ,B Calitz
Batter ,S Sharma
Batter ,J Bazley
Batter ,R Roach
Batter ,R Williams
All Rounder ,P Hatzoglou
Bowler ,J Dodd
Batter ,W Nalisa
Bowler ,H Mclntyre
Batter ,"	"*
W
L
W
W
W"	--	63 Wkt	22 Wkt	--	--	--
0	Team 1 (TBC)	Team 2 (TBC)	--	--	--	--	https://crex.live/scoreboard/T5S/1QZ/Final/CA/N/tbc-vs-tbc-final-weston-shield-t10-2025/info	"W Smale
(WK)
Batter ,S Lynch
Batter ,K O'Brien
(C)
Batter ,J Connell
Batter ,N Priestley
All Rounder ,M Jones
All Rounder ,J Sumerauer
All Rounder ,D Murray
All Rounder ,J Wilson
Bowler ,T Hinley
Bowler ,S K Wright
All Rounder ,S Allison
Bowler ,T Sturgess
Bowler ,O Davidson
Batter ,"	Weston Shield T10 2025	Final	Feb 24, 2025, 12:00:00 AM	--	--	--	--	--	--	--	--	-	-	--	--	--
